url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,19,1
/aubricot/computer_vision_with_eol_images,12,3
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/helper_funcs/inspect_train_results,8,1
/aubricot/computer_vision_with_eol_images/pulse,6,1
/aubricot/computer_vision_with_eol_images/tree/master,6,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/image_type,6,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/rating,6,1
/aubricot/computer_vision_with_eol_images/upload/master/classification_for_image_tagging/helper_funcs/inspect_train_results,5,1
/aubricot/computer_vision_with_eol_images/pulse/monthly,4,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/helper_funcs,4,1
