url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,14,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,6,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/chiroptera,5,1
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_cropping/chiroptera/chiroptera_preprocessing.ipynb,4,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,4,1
/aubricot/computer_vision_with_eol_images/wiki/Home/_compare/5db45eace73ab7132dc2860f74e9d82d60a4f87b...1bffe745b574a6d4295b746e0478c074eac65ee0,4,1
/aubricot/computer_vision_with_eol_images/wiki/Home/_history,4,1
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_cropping/chiroptera/chiroptera_generate_crops_tf2.ipynb,2,1
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_cropping/multitaxa/multitaxa_preprocessing.ipynb,2,1
/aubricot/computer_vision_with_eol_images/commit/5f2d6233780814ba794bb8548e17f32cdabe5bcc,2,1
