url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,30,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,13,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping,12,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_cropping/chiroptera,9,1
/aubricot/computer_vision_with_eol_images/pulse,8,1
/aubricot/computer_vision_with_eol_images/blob/master/object_detection_for_image_cropping/chiroptera/chiroptera_preprocessing.ipynb,6,1
/aubricot/computer_vision_with_eol_images/commit/f8b9e6a3a2cc4fb2de997bd61ac77bab32ce7693,5,1
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging,5,1
/aubricot/computer_vision_with_eol_images/security/dependabot,4,1
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/image_type,4,1
