url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,50,5
/aubricot/computer_vision_with_eol_images/tree/github-repo-stats,49,2
/aubricot/computer_vision_with_eol_images/actions/workflows/github-repo-stats.yml,22,1
/aubricot/computer_vision_with_eol_images/tree/github-repo-stats/aubricot/computer_vision_with_eol_images,17,2
/aubricot/computer_vision_with_eol_images/actions,14,1
/aubricot/computer_vision_with_eol_images/tree/master/.github/workflows,10,1
/aubricot/computer_vision_with_eol_images/actions/runs/2952196692,9,1
/aubricot/computer_vision_with_eol_images/tree/master/.github,9,1
/aubricot/computer_vision_with_eol_images/commits/github-repo-stats,8,1
/aubricot/computer_vision_with_eol_images/commits/master,7,2
