url_path,views_total,views_unique
/aubricot/computer_vision_with_eol_images,16,5
/aubricot/computer_vision_with_eol_images/pulse,8,2
/aubricot/computer_vision_with_eol_images/pulse/monthly,7,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging,7,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/image_type,7,2
/aubricot/computer_vision_with_eol_images/tree/master/object_detection_for_image_tagging,7,1
/aubricot/computer_vision_with_eol_images/blob/master/classification_for_image_tagging/image_type/inspect_train_results.ipynb,6,2
/aubricot/computer_vision_with_eol_images/blob/master/classification_for_image_tagging/rating/classify_images.ipynb,5,2
/aubricot/computer_vision_with_eol_images/tree/master/classification_for_image_tagging/rating,4,2
/aubricot/computer_vision_with_eol_images/search,4,1
